Date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol
2012-01-03,10.751585886501127,10.813925806456789,10.718337876345103,10.726649284362791,53679800,0.0,0.0,0.0,XLK
2012-01-04,10.722493109459894,10.77652162102224,10.664309290265138,10.755741119384766,9488600,0.0,0.0,0.0,XLK
2012-01-05,10.743270700228944,10.809766702061726,10.693398302506925,10.788986206054688,13513800,0.0,0.0,0.0,XLK
2012-01-06,10.797303188139912,10.818083693353632,10.74327545997468,10.793147087097168,9978400,0.0,0.0,0.0,XLK
2012-01-09,10.830549401915937,10.838861602618527,10.747429772975272,10.776521682739258,8173200,0.0,0.0,0.0,XLK
2012-01-10,10.880419843948376,10.90119954924839,10.813923835754396,10.813923835754396,11466200,0.0,0.0,0.0,XLK
2012-01-11,10.793145179484608,10.876265600258096,10.784833771563324,10.847173690795898,8307600,0.0,0.0,0.0,XLK
2012-01-12,10.872107436878542,10.90951153985937,10.809767529475476,10.901199340820312,9731000,0.0,0.0,0.0,XLK
2012-01-13,10.8347053651554,10.851329766350206,10.759897145168928,10.838861465454102,11943000,0.0,0.0,0.0,XLK
2012-01-17,10.913669672899042,10.963541291035993,10.863797262067012,10.888733863830566,11066200,0.0,0.0,0.0,XLK
2012-01-18,10.917820729765191,11.059124903703658,10.913664631391155,11.046656608581545,14418800,0.0,0.0,0.0,XLK
2012-01-19,11.104847013455045,11.150563330099192,11.092379503603135,11.125627517700195,14850400,0.0,0.0,0.0,XLK
2012-01-20,11.104844986661124,11.154717395051872,11.10068888657064,11.13809299468994,26720600,0.0,0.0,0.0,XLK
2012-01-23,11.154714491681968,11.23367878745808,11.1048420962721,11.175494194030762,58044400,0.0,0.0,0.0,XLK
2012-01-24,11.12562177434836,11.18796166951188,11.113153478237749,11.167181968688965,11501800,0.0,0.0,0.0,XLK
2012-01-25,11.27108473353801,11.287708339603226,11.15471632030165,11.254460334777832,35868400,0.0,0.0,0.0,XLK
2012-01-26,11.291866454975985,11.304334756271802,11.133938602037798,11.179654121398926,17425800,0.0,0.0,0.0,XLK
2012-01-27,11.138093909774634,11.2087460317274,11.138093909774634,11.179654121398926,16520400,0.0,0.0,0.0,XLK
2012-01-30,11.08406424177348,11.229524560549557,11.075752042370285,11.212900161743164,15382400,0.0,0.0,0.0,XLK
2012-01-31,11.287711310923244,11.29186741170732,11.16718755896574,11.233683586120604,16178600,0.0,0.0,0.0,XLK
2012-02-01,11.341737598916891,11.39576531309902,11.300177391941013,11.345892906188965,17944800,0.0,0.0,0.0,XLK
2012-02-02,11.387450338030211,11.420698336969336,11.3458901411826,11.374982833862305,12041000,0.0,0.0,0.0,XLK
2012-02-03,11.470572307408789,11.541224413946582,11.449791809783008,11.5204439163208,14786400,0.0,0.0,0.0,XLK
2012-02-06,11.48719687649664,11.532913182413656,11.458104970074906,11.524600982666016,13401200,0.0,0.0,0.0,XLK
2012-02-07,11.520446713457764,11.582787428776356,11.466418991902795,11.55369472503662,14776000,0.0,0.0,0.0,XLK
2012-02-08,11.578632162985317,11.636815989269202,11.54122804817562,11.624347686767578,22989800,0.0,0.0,0.0,XLK
2012-02-09,11.678376042384745,11.753184270963024,11.640971928095604,11.736559867858888,18972800,0.0,0.0,0.0,XLK
2012-02-10,11.657591954397274,11.67421635239027,11.607720345808143,11.649280548095703,12739000,0.0,0.0,0.0,XLK
2012-02-13,11.732401822672047,11.749026223021025,11.65759360649173,11.72408962249756,16844000,0.0,0.0,0.0,XLK
2012-02-14,11.711619324747211,11.753179523023286,11.649279423680523,11.744867324829102,13086000,0.0,0.0,0.0,XLK
2012-02-15,11.80305413691044,11.87786235434661,11.661749902352131,11.682530403137209,24426200,0.0,0.0,0.0,XLK
2012-02-16,11.682531055469784,11.865394716418937,11.665906653913444,11.852927207946776,20095600,0.0,0.0,0.0,XLK
2012-02-17,11.890331318753445,11.890331318753445,11.811366996751026,11.852927207946776,18570000,0.0,0.0,0.0,XLK
2012-02-21,11.869549691708563,11.956826206216322,11.832145584447384,11.90279769897461,19440800,0.0,0.0,0.0,XLK
2012-02-22,11.886176198658848,11.915268111086654,11.836303782571772,11.86124038696289,16206000,0.0,0.0,0.0,XLK
2012-02-23,11.848769048027595,11.92773335630459,11.782273038750638,11.906952857971191,11013400,0.0,0.0,0.0,XLK
2012-02-24,11.948514864017028,11.998387274843976,11.944358763723525,11.977606773376465,10992000,0.0,0.0,0.0,XLK
2012-02-27,11.919423016137278,12.031635346555388,11.857083096803354,11.998387336730955,17053000,0.0,0.0,0.0,XLK
2012-02-28,12.010853675130097,12.08566188812256,11.98591786836428,12.08566188812256,20220200,0.0,0.0,0.0,XLK
2012-02-29,12.093973286204584,12.139688796795497,11.98591707378933,12.031633377075195,20911600,0.0,0.0,0.0,XLK
2012-03-01,12.093972232912208,12.123064135125912,12.039943735062575,12.10228443145752,27944800,0.0,0.0,0.0,XLK
2012-03-02,12.093974087942833,12.131378194439064,12.052413881536465,12.08566188812256,17570800,0.0,0.0,0.0,XLK
2012-03-05,12.07319279261018,12.093973290791158,11.93604467539553,11.98176097869873,14492400,0.0,0.0,0.0,XLK
2012-03-06,11.865394592285156,11.89033119435878,11.798898572145662,11.865394592285156,28072800,0.0,0.0,0.0,XLK
2012-03-07,11.915265990117652,11.96929370462425,11.898641590149456,11.952670097351074,21582000,0.0,0.0,0.0,XLK
2012-03-08,12.015008787864128,12.098129193847532,11.990072983147082,12.073192596435549,14517800,0.0,0.0,0.0,XLK
2012-03-09,12.089818905496813,12.139690522813076,12.08566280527128,12.127223014831545,12731600,0.0,0.0,0.0,XLK
2012-03-12,12.11891165512709,12.15631576705672,12.08566364371132,12.143847465515137,11853600,0.0,0.0,0.0,XLK
2012-03-13,12.214501054023469,12.384897232055664,12.202033543681493,12.384897232055664,38024200,0.0,0.0,0.0,XLK
2012-03-14,12.393206549029337,12.48463916462677,12.351646341275508,12.43061065673828,25483600,0.0,0.0,0.0,XLK
2012-03-15,12.48048204958437,12.492949556010055,12.409829939957278,12.463857650756836,24901000,0.0,0.0,0.0,XLK
2012-03-16,12.495547301839634,12.495547301839634,12.437176629979083,12.458023071289062,18957600,0.048,0.0,0.0,XLK
2012-03-19,12.483037910418444,12.57893279865831,12.45385257880115,12.549747467041016,17861600,0.0,0.0,0.0,XLK
2012-03-20,12.474700862873217,12.55391877129939,12.441346079626529,12.537240982055664,11426200,0.0,0.0,0.0,XLK
2012-03-21,12.55808246830898,12.612283668051028,12.52889635049668,12.533065795898438,17650000,0.0,0.0,0.0,XLK
2012-03-22,12.478867478867404,12.537238137495264,12.458020247042755,12.503883361816406,15001800,0.0,0.0,0.0,XLK
2012-03-23,12.524730593641056,12.524730593641056,12.437173810458685,12.503883361816406,19023200,0.0,0.0,0.0,XLK
2012-03-26,12.58726974124328,12.691503506716746,12.55808441414919,12.687334060668944,24374400,0.0,0.0,0.0,XLK
2012-03-27,12.69984540519773,12.73320098356494,12.67482951666308,12.683168411254885,12876000,0.0,0.0,0.0,XLK
2012-03-28,12.68316551321631,12.729028627750978,12.574762294014734,12.63730239868164,12979000,0.0,0.0,0.0,XLK
2012-03-29,12.570595750890188,12.628967217935545,12.520563973697897,12.612289428710938,11474400,0.0,0.0,0.0,XLK
2012-03-30,12.653982154081698,12.666489699817962,12.537240024018788,12.574764251708984,16014600,0.0,0.0,0.0,XLK
2012-04-02,12.570590946324286,12.724857256727194,12.54557506728938,12.708179473876951,32815600,0.0,0.0,0.0,XLK
2012-04-03,12.72903048902166,12.766554716356806,12.633134799587012,12.699844360351562,13552400,0.0,0.0,0.0,XLK
2012-04-04,12.595609790193633,12.603948683581612,12.47052957033647,12.549747467041016,18419600,0.0,0.0,0.0,XLK
2012-04-05,12.508053759035173,12.591441102191665,12.495545418989506,12.578932762145996,10119800,0.0,0.0,0.0,XLK
2012-04-09,12.424667315571558,12.553917786347444,12.416329216844645,12.491376876831056,13779800,0.0,0.0,0.0,XLK
2012-04-10,12.495546558426758,12.545579127931124,12.28707897676654,12.316265106201172,28745800,0.0,0.0,0.0,XLK
2012-04-11,12.416329264068448,12.449684044825055,12.357957801313855,12.3871431350708,18613200,0.0,0.0,0.0,XLK
2012-04-12,12.41632831930862,12.55391687886559,12.403819979261389,12.54140853881836,18139000,0.0,0.0,0.0,XLK
2012-04-13,12.508053893773887,12.508053893773887,12.332941107451427,12.345449447631836,21060800,0.0,0.0,0.0,XLK
2012-04-16,12.416326448249263,12.420495894303366,12.195350578824993,12.21619701385498,40978000,0.0,0.0,0.0,XLK
2012-04-17,12.25789259788794,12.503884386901488,12.253723151181193,12.483037948608398,20538200,0.0,0.0,0.0,XLK
2012-04-18,12.412157923651666,12.44551269932016,12.349617818678317,12.391310691833496,14212800,0.0,0.0,0.0,XLK
2012-04-19,12.349617867115477,12.462189738412802,12.182843192878316,12.253722190856934,38465200,0.0,0.0,0.0,XLK
2012-04-20,12.303754874955857,12.353786641533809,12.195351653716177,12.207859992980955,23242600,0.0,0.0,0.0,XLK
2012-04-23,12.111964225769045,12.145319001653368,12.007730451725452,12.111964225769045,31060600,0.0,0.0,0.0,XLK
2012-04-24,12.09945673400116,12.174505178874588,12.041085279521498,12.08694839477539,19248800,0.0,0.0,0.0,XLK
2012-04-25,12.349618767561491,12.441344208887427,12.349618767561491,12.42883586883545,28710400,0.0,0.0,0.0,XLK
2012-04-26,12.424663667276915,12.549744654341056,12.424663667276915,12.524728775024414,18953600,0.0,0.0,0.0,XLK
2012-04-27,12.541410520750462,12.562256962216257,12.470531506429689,12.520564079284668,11353200,0.0,0.0,0.0,XLK
2012-04-30,12.503883377081644,12.512222269821685,12.41632738903296,12.43300437927246,20123600,0.0,0.0,0.0,XLK
2012-05-01,12.424663605736855,12.59977635056694,12.407986618021852,12.474696159362791,23355800,0.0,0.0,0.0,XLK
2012-05-02,12.407989498368243,12.487207395315146,12.378804166661665,12.483037948608398,12842600,0.0,0.0,0.0,XLK
2012-05-03,12.503882500872807,12.508051946950657,12.345447526117264,12.378802299499512,18397800,0.0,0.0,0.0,XLK
2012-05-04,12.27039811256127,12.29124454605415,12.116131800896396,12.120301246643066,24187200,0.0,0.0,0.0,XLK
2012-05-07,12.045254725930088,12.149488500423052,12.024408289127727,12.08694839477539,16165400,0.0,0.0,0.0,XLK
2012-05-08,12.024408270566248,12.078609483313064,11.8909891666597,12.045254707336426,20341600,0.0,0.0,0.0,XLK
2012-05-09,11.920174496234184,12.103626161725982,11.874311381051086,12.045254707336426,20923600,0.0,0.0,0.0,XLK
2012-05-10,12.061934504067404,12.070273398262078,11.928515377915485,11.953531265258787,17288600,0.0,0.0,0.0,XLK
2012-05-11,11.928514460833512,12.091118908924802,11.911836673726375,11.961869239807127,14323000,0.0,0.0,0.0,XLK
2012-05-14,11.8784771600092,11.949356136480956,11.840952949215897,11.857630729675291,28108600,0.0,0.0,0.0,XLK
2012-05-15,11.886824685201002,11.966042609448843,11.799267864665827,11.824284553527832,16883200,0.0,0.0,0.0,XLK
2012-05-16,11.878483806120997,11.886822701016376,11.715879331865,11.728386878967283,25618800,0.0,0.0,0.0,XLK
2012-05-17,11.745062858760347,11.765909297545427,11.55744172873196,11.56161117553711,22552600,0.0,0.0,0.0,XLK
2012-05-18,11.607472387795474,11.644996607635113,11.428190180837312,11.453206062316896,25196200,0.0,0.0,0.0,XLK
2012-05-21,11.478227359295204,11.740896208662578,11.453210672505278,11.736726760864258,17104400,0.0,0.0,0.0,XLK
2012-05-22,11.774250047707223,11.8076048321671,11.632492014942551,11.699201583862305,15628600,0.0,0.0,0.0,XLK
2012-05-23,11.611643731337596,11.745062848017676,11.503240500224866,11.711708068847656,17437400,0.0,0.0,0.0,XLK
2012-05-24,11.74506288826802,11.749232335083644,11.557441757768265,11.64499855041504,16600800,0.0,0.0,0.0,XLK
2012-05-25,11.636656846392576,11.665842171812676,11.594963183546517,11.619979858398438,10010400,0.0,0.0,0.0,XLK
2012-05-29,11.740894295133709,11.824281647027956,11.690862520189736,11.774249076843262,14668400,0.0,0.0,0.0,XLK
2012-05-30,11.670016246865012,11.736725815784764,11.632492014942551,11.699201583862305,11103000,0.0,0.0,0.0,XLK
2012-05-31,11.678353329699366,11.72004700261494,11.561611204583889,11.64499855041504,23844200,0.0,0.0,0.0,XLK
2012-06-01,11.444869077086905,11.511578631006396,11.340635299682615,11.340635299682615,24028600,0.0,0.0,0.0,XLK
2012-06-04,11.378161390240065,11.432362613478448,11.27392759573178,11.407346725463867,15706600,0.0,0.0,0.0,XLK
2012-06-05,11.378160415605777,11.49073229964904,11.365652075049558,11.478224754333496,14268000,0.0,0.0,0.0,XLK
2012-06-06,11.557440742706303,11.753400749626616,11.553271296256872,11.74089241027832,17740600,0.0,0.0,0.0,XLK
2012-06-07,11.853463214052788,11.857632659846336,11.674181021132632,11.682519912719728,13362200,0.0,0.0,0.0,XLK
2012-06-08,11.67418095601592,11.820108377014211,11.640826185094063,11.811769485473633,15210200,0.0,0.0,0.0,XLK
2012-06-11,11.90766733787403,11.916006231505278,11.624151316336915,11.64499855041504,27117400,0.0,0.0,0.0,XLK
2012-06-12,11.670014287778772,11.774248071122893,11.603304730057788,11.76173973083496,16018800,0.0,0.0,0.0,XLK
2012-06-13,11.745061962138887,11.803432622473611,11.657505176396196,11.690860748291016,22709000,0.0,0.0,0.0,XLK
2012-06-14,11.69919782658475,11.790924050821497,11.624149386842154,11.74923038482666,21162400,0.0,0.0,0.0,XLK
2012-06-15,11.794854609541195,11.90367877082218,11.778112062423231,11.874380111694336,29203400,0.0545,0.0,0.0,XLK
2012-06-18,11.836708657462063,12.008315751719058,11.819966112496267,11.962274551391602,17272400,0.0,0.0,0.0,XLK
2012-06-19,12.025056967270205,12.10458245568853,12.01250085742888,12.05435562133789,13112000,0.0,0.0,0.0,XLK
2012-06-20,12.071104088147086,12.112959670920624,11.979022444708376,12.075289726257324,18961600,0.0,0.0,0.0,XLK
2012-06-21,12.066917045052708,12.083659595544278,11.773928798080206,11.790671348571776,12344600,0.0,0.0,0.0,XLK
2012-06-22,11.832525614989429,11.932978511818703,11.807411792035616,11.920421600341797,28528600,0.0,0.0,0.0,XLK
2012-06-25,11.811594287527916,11.811594287527916,11.656729745480485,11.677657127380373,10928800,0.0,0.0,0.0,XLK
2012-06-26,11.71114266023258,11.752998226802614,11.639988436562076,11.723699569702148,11241000,0.0,0.0,0.0,XLK
2012-06-27,11.77392407705208,11.828336546002992,11.744625423768554,11.794852256774902,14875400,0.0,0.0,0.0,XLK
2012-06-28,11.715331076554577,11.732073626486702,11.564651320480332,11.698589324951172,21093800,0.0,0.0,0.0,XLK
2012-06-29,11.899493783092934,12.04180224804338,11.870195122367011,12.025059700012209,17999400,0.0,0.0,0.0,XLK
2012-07-02,12.058542417165512,12.096212346969413,11.999945103394346,12.092026710510254,16942800,0.0,0.0,0.0,XLK
2012-07-03,12.08365495165894,12.18829345703125,12.07528367963033,12.18829345703125,6851000,0.0,0.0,0.0,XLK
2012-07-05,12.158994004931111,12.251076400588948,12.10876796941633,12.18829345703125,14129200,0.0,0.0,0.0,XLK
2012-07-06,12.10876987891233,12.10876987891233,11.924605856883302,12.00831699371338,13804400,0.0,0.0,0.0,XLK
2012-07-09,11.979020002685486,12.008318665155532,11.91205060490279,11.98320484161377,14639400,0.0,0.0,0.0,XLK
2012-07-10,12.029247342973544,12.07110292170253,11.807413334540056,11.849268913269045,14580200,0.0,0.0,0.0,XLK
2012-07-11,11.840893453836689,11.870192107120213,11.698585025035197,11.794852256774902,15684200,0.0,0.0,0.0,XLK
2012-07-12,11.711141417417258,11.727883961599924,11.58138989331538,11.677657127380373,19515800,0.0,0.0,0.0,XLK
2012-07-13,11.70277290032008,11.861823914184429,11.69858806161769,11.832525253295898,13778800,0.0,0.0,0.0,XLK
2012-07-16,11.83252513453882,11.878565544760724,11.79485519996632,11.819968223571776,9420600,0.0,0.0,0.0,XLK
2012-07-17,11.895305505418133,11.90367677757536,11.719512781758617,11.866006851196287,16763800,0.0,0.0,0.0,XLK
2012-07-18,11.86600601060969,12.100396026108733,11.857634739045483,12.071097373962402,16260400,0.0,0.0,0.0,XLK
2012-07-19,12.146439676587187,12.21759390260882,12.12969713007454,12.175738334655762,19684800,0.0,0.0,0.0,XLK
2012-07-20,12.154809283247085,12.16736539308139,12.029242596604876,12.03761386871338,31410600,0.0,0.0,0.0,XLK
2012-07-23,11.832525614989429,11.962277173602828,11.740443194149432,11.920421600341797,13050200,0.0,0.0,0.0,XLK
2012-07-24,11.924602854981869,11.95390150599818,11.723697135160002,11.799036979675291,15751800,0.0,0.0,0.0,XLK
2012-07-25,11.715327470951502,11.828337253226389,11.686028815916192,11.752997398376465,16461200,0.0,0.0,0.0,XLK
2012-07-26,11.924602590638573,11.983199891372214,11.866005289904932,11.932973861694336,14088000,0.0,0.0,0.0,XLK
2012-07-27,11.999943715056848,12.21340635980614,11.96645942558608,12.19247817993164,18278200,0.0,0.0,0.0,XLK
2012-07-30,12.209223628441322,12.288749134226904,12.17155369403387,12.196666717529297,17853000,0.0,0.0,0.0,XLK
2012-07-31,12.230145620208058,12.313856726039065,12.221775148287572,12.246888160705566,17480600,0.0,0.0,0.0,XLK
2012-08-01,12.32642011178892,12.32642011178892,12.163183449432765,12.205039024353027,18240600,0.0,0.0,0.0,XLK
2012-08-02,12.104579025038692,12.263629158469298,12.06272347466383,12.125506401062012,13260800,0.0,0.0,0.0,XLK
2012-08-03,12.334789553329696,12.401758148252563,12.2803778693281,12.364089012145996,16377200,0.0,0.0,0.0,XLK
2012-08-06,12.41012788561674,12.506395129107776,12.40175661270573,12.451983451843262,22640400,0.0,0.0,0.0,XLK
2012-08-07,12.493838557630449,12.585920161272464,12.477096012425449,12.535694122314451,15374800,0.0,0.0,0.0,XLK
2012-08-08,12.510582092595676,12.573365847759373,12.489654706426853,12.539880752563477,17118400,0.0,0.0,0.0,XLK
