,avg_vol_126,vol_dispersion_126,avg_pairwise_corr_63,PC1_var,cum_var_3,effective_dimension
2015-12-30,2.1879110489022513,2.8910708165725456,-0.5573537832702135,-0.40984561854166246,-0.10337064163166466,0.7347317183267376
2016-01-04,2.2139249562390098,2.896411151930086,-0.4729849451691223,-0.4229319964147959,-0.12788998428074128,0.7352845968708963
2016-01-05,2.214585564786914,2.8950959371207756,-0.46954423536437334,-0.42352310575573354,-0.13003845372426004,0.7335708677984373
2016-01-06,2.223970115594322,2.898375126940286,-0.5043896454759668,-0.4338729932550263,-0.14629668405391433,0.7367118298015701
2016-01-07,2.2347430204439878,2.9007738672159973,-0.4947522617822435,-0.37867040151260845,-0.037952266149234894,0.7363821385995553
2016-01-08,2.240759881281612,2.9021288919707677,-0.4657035718365735,-0.3770052903498654,-0.03327549972729306,0.7378408276481511
2016-01-11,2.282783159105445,2.9120776174582406,-0.41669844190146615,-0.3975375440920171,-0.07256726644022017,0.7391317756151891
2016-01-12,2.2335492106897488,2.862783278293625,-0.42528084271896965,-0.3799232369596865,-0.038027539448241415,0.7389565795347588
2016-01-13,2.24347570983807,2.86418130983383,-0.5013332171424519,-0.3779715013394288,-0.03398791596409103,0.738926287262632
2016-01-14,2.253429298660997,2.8685559058712466,-0.4231672847643738,-0.3859312519851463,-0.0494180389850715,0.7391777290820835
2016-01-15,2.308879483541881,2.888480732509277,-0.4395954205258718,-0.18526747310995112,0.19447627163248393,0.5639199726970889
2016-01-18,2.3160540997187753,2.8836770293631857,-0.4711825900438428,-0.19232117387654574,0.1802082486712028,0.563827364943579
2016-01-19,2.3581485569886236,2.9029943291687688,-0.5209587141081302,-0.23879850572470357,0.09115752530681108,0.5629742831483563
2016-01-20,2.370456752822373,2.909449238250721,-0.6175413881425443,-0.18914891202009523,0.18662295917621805,0.5636929996601248
2016-01-21,2.3781192987587687,2.9069160657699165,-0.6231356444779932,-0.1871468155532804,0.18916039583971575,0.5628731416387296
2016-01-22,2.3901651508022588,2.9063236850848364,-0.6225691048338633,-0.19107718313791508,0.18189899936904969,0.5622772487354402
2016-01-26,2.407933158806896,2.916375379601096,-0.5908202507528328,0.04024784151251329,0.4824000873857927,0.3845615804751517
2016-01-27,2.431959793951986,2.9231932612964773,-0.6359241429122715,0.016144875859025642,0.4366279444294424,0.3837033315067008
2016-01-28,2.4280957884890118,2.9206012082648836,-0.6593191485366453,0.05675485454297877,0.51091857085373,0.3830199589465834
2016-01-29,2.5592545056274254,3.0556409623516405,-0.5454909966364213,-0.22661809865764895,0.214997941740897,0.6878013505241901
2016-02-01,2.574667601665019,3.0581662753840084,-0.44144642585671834,-0.2397927034728075,0.18986173425975436,0.6883250623514969
2016-02-02,2.598594551208996,3.0545243938672586,-0.4092775637735839,-0.24873537724507858,0.17204890047669502,0.6882381621633774
2016-02-03,2.6103691734728147,3.0585634690095365,-0.413210957884888,-0.24680662327227254,0.1784141288784511,0.6898671308930101
2016-02-04,2.6243774845677503,3.06013969296949,-0.4579202380105776,-0.25205796337040015,0.16935628904640945,0.6906613502490809
2016-02-05,2.618053198938701,3.056047589604926,-0.44612940555576347,-0.25069773138831963,0.17368323004459313,0.6916394207168874
2016-02-10,2.6253829606917063,3.0573817501364298,-0.5115019628036519,-0.2516221036188217,0.17423504896243472,0.6936670491243988
2016-02-11,2.6363167405367873,3.058128320549212,-0.5630907563930361,-0.25494203240243946,0.16745112024305855,0.6936233317004099
2016-02-12,2.643687965150639,3.05629691577371,-0.558556316908363,-0.25665107841473866,0.16468647355774974,0.6938909456275306
2016-02-15,2.649401838869212,3.056826822382949,-0.5362807746531199,-0.2606179396129432,0.1579837768974806,0.6947994784546716
2016-02-16,2.661237910569902,3.053520662443688,-0.4519853398672882,-0.24835270417994226,0.18304524447048126,0.6955412268317015
2016-02-17,2.462243621247847,2.719587326918581,-0.456199627267152,-0.25212736294636884,0.17527765810566565,0.6952955879447836
2016-02-18,2.472217031750789,2.72883038457617,-0.42918452251916944,-0.2681272411845001,0.1440099342745769,0.6952367713938231
2016-02-19,2.4892456437006136,2.736058288570974,-0.47627858013966234,-0.28494439817782113,0.11163543149201727,0.6955778030541278
2016-02-22,2.4334424580197482,2.6936837709684003,-0.4655099859620023,-0.29305368397925585,0.09810242087280951,0.6980259532806383
2016-02-23,2.433205272969645,2.6940393289729196,-0.4474226981648423,-0.2898203893698996,0.10207505582124198,0.6964241880809822
2016-02-24,2.4268335594323927,2.698286201897699,-0.4761111961853327,-0.28964969964864906,0.09851539543516627,0.6936186181876351
2016-02-25,2.428017924570447,2.7003513839820035,-0.45199340266026594,-0.29009156118032464,0.09782349238088595,0.6938144549613743
2016-02-26,2.4251056508709885,2.7021422946940157,-0.51140933441148,0.0764038597213811,0.20106752688955656,0.13761665832294326
2016-02-29,2.4264437607147555,2.7056240194592105,-0.5254493421627628,0.06618674256118581,0.18392722220525934,0.13804685250172766
2016-03-01,2.4312512842573293,2.7069585946857657,-0.4672458058610162,0.06630612374260263,0.18401113495899304,0.1376241487396923
2016-03-02,2.4137858511560983,2.7033747170259006,-0.5024593092207217,0.33296999665786187,0.20484284156544721,-0.5258722824985117
2016-03-03,2.4484319794949543,2.7058706426664823,-0.40600937093174677,-0.4909230847254808,-0.9493505362015019,-0.14565254866578684
2016-03-04,2.305803577991208,2.3514960143556594,-0.43900983166671725,-0.4998858153354054,-0.9638192205862671,-0.14561982761541983
2016-03-07,2.141505153924925,1.9605180696145055,-0.4238053143538784,-0.4901557402481492,-0.9544624972226485,-0.15669337325547933
2016-03-08,2.1505965300808274,1.9608887909849346,-0.3785075827552352,-0.5016197168140737,-0.9530781834000305,-0.12269154912185906
2016-03-09,2.151131781897326,1.965083551233167,-0.42805980590476345,-0.5119815465376356,-0.9583758211244079,-0.10153317116722636
2016-03-10,2.154012102875573,1.9676853715405276,-0.35434447954456527,-0.5198758400721775,-0.971235029368671,-0.10161012877423857
