regime_id,regime_name,avg_vix,median_vix,min_vix,max_vix,std_vix
0,Calm,22.84492798566131,21.290000915527344,13.510000228881836,45.40999984741211,6.065167188377865
1,Crisis,18.285448942391128,17.40999984741211,10.130000114440918,40.27999877929688,4.449551286377745
2,Elevated Stress,29.952586252936,27.25,18.190000534057617,82.69000244140625,10.506682803354204
3,Transition,14.389420959945351,13.68000030517578,9.140000343322754,37.209999084472656,3.082272910529632
