K,inertia,silhouette,mean_persistence,max_persistence,single_day_pct,passes_persistence
3,7531.03087238407,0.3871423452204706,552.8572303921569,959,15.0,False
4,5712.844747696972,0.4017553598781892,498.10049019607845,903,0.0,True
5,4902.497379888088,0.28111904374033986,185.7316176470588,412,2.857142857142857,True
6,4680.106663213534,0.2774613872837974,195.38419117647058,487,8.333333333333332,True
