Date,regime,spy_close,spy_returns,spy_vol_252d,vix
2012-01-03,2,99.58344268798828,,,22.969999313354492
2012-01-04,2,99.73960876464844,0.0015681931900008994,,22.219999313354492
2012-01-05,2,100.00519561767578,0.002662802233905248,,21.479999542236328
2012-01-06,2,99.7474594116211,-0.0025772281576251777,,20.6299991607666
2012-01-09,2,99.98955535888672,0.0024270888571364946,,21.06999969482422
2012-01-10,2,100.85652923583984,0.008670644387219761,,20.690000534057617
2012-01-11,2,100.91119384765625,0.000542003698031035,,21.049999237060547
2012-01-12,2,101.15335083007812,0.0023997038701915052,,20.469999313354492
2012-01-13,2,100.63005065917969,-0.005173335006741442,,20.90999984741211
2012-01-17,2,101.02053833007812,0.003880428046498352,,22.200000762939453
2012-01-18,2,102.13749694824219,0.011056747831955427,,20.889999389648438
2012-01-19,2,102.6763687133789,0.005275944498716267,,19.8700008392334
2012-01-20,2,103.05908203125,0.003727374883498724,,18.280000686645508
2012-01-23,2,102.7935562133789,-0.0025764426835335197,,18.670000076293945
2012-01-24,2,102.6763687133789,-0.0011400276857504998,,18.90999984741211
2012-01-25,2,103.5355224609375,0.008367589916983942,,18.309999465942383
2012-01-26,2,103.0044174194336,-0.005129689104570678,,18.56999969482422
2012-01-27,2,102.95755767822266,-0.0004549294329788678,,18.530000686645508
2012-01-30,2,102.60606384277344,-0.003413968273681789,,19.399999618530273
2012-01-31,2,102.56703186035156,-0.0003804061958919691,,19.440000534057617
2012-02-01,2,103.46521759033203,0.00875706076006355,,18.549999237060547
2012-02-02,2,103.62919616699219,0.0015848666873676809,,17.979999542236328
2012-02-03,2,105.08196258544922,0.014018891125199717,,17.100000381469727
2012-02-06,2,105.01171875,-0.000668467106256232,,17.760000228881836
2012-02-07,2,105.27720642089844,0.0025281718465202108,,17.649999618530273
2012-02-08,2,105.58969116210938,0.002968208901380054,,18.15999984741211
2012-02-09,2,105.72244262695312,0.0012572388779878985,,18.6299991607666
2012-02-10,2,104.94140625,-0.0073876119161288,,20.790000915527344
2012-02-13,2,105.72244262695312,0.007442594919039536,,19.040000915527344
2012-02-14,2,105.58969116210938,-0.001255660213150489,,19.540000915527344
2012-02-15,2,105.09758758544922,-0.00466052671661521,,21.139999389648438
2012-02-16,2,106.26140594482422,0.011073692423517967,,19.219999313354492
2012-02-17,2,106.54257202148438,0.00264598491013901,,17.780000686645508
2012-02-21,2,106.58939361572266,0.00043946371248515526,,18.190000534057617
2012-02-22,2,106.2457504272461,-0.003223990463023685,,18.190000534057617
2012-02-23,2,106.71436309814453,0.004410648604899592,,16.799999237060547
2012-02-24,2,106.94864654541016,0.0021954256246663473,,17.309999465942383
2012-02-27,2,107.12832641601562,0.0016800574519582057,,18.190000534057617
2012-02-28,2,107.44072723388672,0.0029161364535643663,,17.959999084472656
2012-02-29,2,107.01899719238281,-0.003925234427963664,,18.43000030517578
2012-03-01,2,107.57353210449219,0.005181649302062885,,17.260000228881836
2012-03-02,2,107.24546813964844,-0.0030496717773018656,,17.290000915527344
2012-03-05,2,106.80809783935547,-0.00407821708348044,,18.049999237060547
2012-03-06,2,105.24604034423828,-0.014624897612787735,,20.8700008392334
2012-03-07,2,105.98017883300781,0.006975449968172898,,19.06999969482422
2012-03-08,2,107.0345687866211,0.009948935406824289,,17.950000762939453
2012-03-09,2,107.44857025146484,0.0038679229480438337,,17.110000610351562
2012-03-12,2,107.45636749267578,7.256719370651865e-05,,15.640000343322754
2012-03-13,2,109.39335632324219,0.018025817136415156,,14.800000190734863
2012-03-14,2,109.27619171142578,-0.0010710395562798514,,15.3100004196167
2012-03-15,2,109.90888214111328,0.005789828688011811,,15.420000076293945
2012-03-16,2,110.06102752685547,0.0013842865360675916,,14.470000267028809
2012-03-19,2,110.49250030517578,0.003920304834652111,,15.039999961853027
2012-03-20,2,110.1708755493164,-0.0029108288342744038,,15.579999923706055
2012-03-21,2,109.99048614501953,-0.0016373601770653945,,15.130000114440918
