Date,avg_vol_126,vol_dispersion_126,avg_pairwise_corr_126,PC1_var,cum_var_3,effective_dimension
2012-01-03,1.7490624565959882,1.6084723155287095,3.1352323295390403,0.8736660341667225,1.713479142264535,-1.1272384938052427
2012-01-04,1.7514073105960837,1.6165142209763326,3.1307914235969383,0.8769183865293888,1.7319488669807144,-1.1226311800959752
2012-01-05,1.7519782932020473,1.6198781486485812,3.1229260204940053,0.8780082915426293,1.7347108073469308,-1.1208231499553878
2012-01-06,1.754316179977979,1.6228609560951437,3.114207354260104,0.8763601961796694,1.7324557480048568,-1.116259431066426
2012-01-09,1.7476020706451945,1.6374845033241596,3.097609532049115,0.8737314129746845,1.7339679799639167,-1.1109981061338934
2012-01-10,1.7552822206593208,1.6538061215071305,3.096189133805528,0.8696660000072809,1.7364888264118319,-1.1042798146829638
2012-01-11,1.7633463891635457,1.6907149813822766,3.0842724593683024,0.8655217705300917,1.7391699099226587,-1.097065941358955
2012-01-12,1.7613084554532297,1.6927539452920604,3.0779876086003912,0.8615613468798552,1.7460047281279223,-1.0879559305466837
2012-01-13,1.763891425537438,1.7350131343124606,3.082323023577526,0.8398923269137613,1.7089557072098134,-1.0792721052021113
2012-01-17,1.770382742483748,1.7697999894362222,3.0588424140279886,0.8352540804252216,1.7147540587465526,-1.072070734421399
2012-01-18,1.7689103248444076,1.790910017237754,3.0526782915209623,0.8322112463388875,1.7246228631399896,-1.0659117836399454
2012-01-19,1.7692188878723387,1.7848635368908656,3.0508824086375315,0.8303383633816633,1.7379164857240206,-1.0602228669435434
2012-01-20,1.7621517802855895,1.765669426433944,3.052941378008447,0.8248178606845753,1.7462393662330176,-1.056851118631143
2012-01-23,1.7599834808622306,1.7698391716864992,3.0599322775028597,0.8175961426918115,1.7519836948172918,-1.0536565262941149
2012-01-24,1.7569393093720216,1.7476231746802893,3.0542321395826195,0.8130699839474168,1.760495663827057,-1.0559820444028203
2012-01-25,1.7620532367772381,1.7468841170176468,3.0481877596592026,0.8093372685485081,1.7705026678075853,-1.0595953589790266
2012-01-26,1.7503131010134614,1.7922253497081608,3.0277901120222785,0.8044631138693169,1.7823685942664131,-1.0601695763985912
2012-01-27,1.7464232744366224,1.8102640812045478,3.0396436335993937,0.7994557514503191,1.7980999696201054,-1.058348345711618
2012-01-30,1.7424455310383806,1.7981556007331108,3.0466799223570056,0.7914988016177247,1.8121583815035078,-1.0513115504760742
2012-01-31,1.7383285552939525,1.8016917740592677,3.050178998924251,0.785341295135616,1.8343078726900692,-1.0424033893705875
2012-02-01,1.7192554912893065,1.7952698428191485,3.017600129215568,0.7787216682214412,1.8595440892414596,-1.0312948272641482
2012-02-02,1.7181457293922873,1.8057834506454544,3.017197325771314,0.7694328067613355,1.8798120176060409,-1.020171083290332
2012-02-03,1.6336494929648855,1.7434816001142956,2.9107495706320736,0.759679336120497,1.8937764584903671,-1.0124919209947452
2012-02-06,1.6263890895411668,1.7463340168219816,2.9308519687515044,0.7525618803182766,1.912553410029349,-1.0068181295644147
2012-02-07,1.4287636814049742,1.6571056273629083,2.6720946863145962,0.7429218861117292,1.9297938585917151,-0.9985181447370882
2012-02-08,1.3193346784378608,1.6405345339346828,2.5737184316156387,0.734547433548057,1.9492989503642877,-0.9911877538095551
2012-02-09,1.2451043817991443,1.5952692844881098,2.480741331842536,0.7230318139558494,1.967060340439084,-0.9853778181434089
2012-02-10,1.1682587325886442,1.642294098716074,2.3775883903576123,0.7111876882684436,1.9839794412054648,-0.9816988636832151
2012-02-13,1.1624880281412795,1.6358406002308736,2.3901914233686843,0.6983978130353934,2.002617959222425,-0.9771943901699043
2012-02-14,1.141066923747189,1.6487515758616043,2.3703267524399516,0.6853626185605614,2.020282724597993,-0.9739508779794118
2012-02-15,1.1404409587879631,1.629378863990457,2.359716662347276,0.6733295764250392,2.035988254550445,-0.9742202143863349
2012-02-16,1.145793421528076,1.6408672322857654,2.365835127717786,0.6602098808785671,2.0507163570912708,-0.9690247575552402
2012-02-17,1.0439604786775527,1.558568142798885,2.2163925607765167,0.6449642966509732,2.0649175187255855,-0.956673598313375
2012-02-21,1.033738428333072,1.5360927657883483,2.205517166722755,0.6317633546511603,2.082018901937294,-0.9464420229094306
