,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AOS_vol_21,-0.005270493228592728,-0.011204298481095618,-0.006614785055130567,0.020125453043692006,0.024273531018705528,0.009397255466388884,0.030105218585374512,0.0006646102145916619,0.014586173560725052,0.006871305505784946,0.04284898991539771,-6.497822755545035e-05,0.013686575678393247,0.000691964981790923,-0.015189499276890273
APH_vol_21,-0.00429460884533874,-0.02572462613739636,-0.020955320171241156,0.025719381024953022,0.010408569871596909,-0.0048674640992661935,-0.0021536729688716094,-0.049859367393167084,-0.016798281511700555,0.021848865725600224,-0.01097706976661722,0.06234788577894075,0.01641816920233518,-0.000666341101930075,-0.0021435483519205026
AXON_vol_21,-0.07412212753764465,0.012397308832604549,-0.010420283166127215,-0.14212452243745022,0.0608818728018422,0.039893660493208305,-0.10567106084482464,-0.048061772322966455,0.23327368722695144,0.06518093688954296,-0.061496462259027045,-0.04690733773890878,-0.07925359583474137,-0.16535176059968343,-0.11585893461083323
AXP_vol_21,0.0331693218955848,-0.01024684279063809,0.026435763399351223,-0.024055925007731682,-0.0014540651898275756,0.015387642432871548,-0.002091840388137971,-0.013713912327589518,-0.030898809340209363,0.015068703642266939,-0.03595115217224426,0.024804224401899024,0.00023891720364689872,0.03840107904815895,-0.04567065693957615
BAX_vol_21,0.016304605314819243,0.01832017359472318,-0.04100289557196172,0.028750268677879984,-0.026971382845232088,0.04248236396257023,0.018746882397130658,-0.007153789795407272,-0.04835959747558327,-0.0015427018135041415,0.03668169561514917,-0.04737918980699662,0.006701402144120578,-0.022007487540396557,-0.0165337617665689
BBY_vol_21,-0.06505732054548985,-0.016787193548383466,-0.025847835199791884,-0.0629032207329949,-0.019526394539121108,-0.017651331793021176,0.08728257985703858,0.030403534219864446,0.0509752049161626,-0.18690312178471238,-0.16344429889357096,0.17400292166929535,-0.06419367522457978,-0.07558501538072211,0.003811418808648088
BDX_vol_21,-0.009923471686796368,0.029322139885537245,-0.004735801674749414,0.0017193122576846618,0.003742514228031216,-0.01857202633097667,-0.0020093991578407208,-0.003718017709689243,0.014152795217623939,0.013510664273968345,-0.0010822518891479493,-0.021581747257565256,0.01764231480317164,-0.035504872788119896,0.029342008712341727
BEN_vol_21,0.0310889923199695,0.00432479149408239,0.023758301283320363,0.006283797581014572,0.0027224048225498836,-0.020709520025489318,0.023931348649108956,0.030261782730513772,0.010012193045024076,-0.02654627224310002,0.013683547166512003,0.013238328950880299,0.06907266618070333,0.014998014511156472,-0.05325770011008108
BK_vol_21,0.0021861594237605115,-0.02741305509836337,0.028634135182560822,0.018433559553332063,0.02995830059775225,-0.015153117845888058,0.04123445731182408,-0.007536705324330698,-0.006071791783372202,-0.0020883929694771636,0.0011741813202766863,-0.04363167970505577,0.04783114681529379,0.060989004927255584,-0.03854004690726874
BKR_vol_21,0.009525795857821494,0.012882970334541178,0.07304657874563206,0.03703607696137201,0.05154087365420411,0.0020597256037981695,0.03149840787751048,0.021333565627589895,0.03250830757848683,-0.0058966985609727775,-0.05582175669513016,0.023204791277709826,0.04186087813722471,0.09935889419953652,-0.0376971764869413
