,UMAP1,UMAP2
2011-09-12,2.8239775,23.173832
2011-09-13,2.818642,23.148178
2011-09-14,2.8391309,23.16065
2011-09-15,2.8986502,23.152412
2011-09-16,2.86914,23.199324
2011-09-19,2.966768,23.05877
2011-09-20,2.9714556,23.037495
2011-09-21,2.9010599,23.119375
2011-09-22,2.843444,23.115631
2011-09-23,2.8315578,23.121555
2011-09-26,2.8123393,23.120342
2011-09-27,2.8121572,23.134605
2011-09-28,2.8337443,23.110718
2011-09-29,2.8045676,23.078287
2011-09-30,2.803741,23.066753
2011-10-03,2.4456105,22.555101
2011-10-04,2.433048,22.54487
2011-10-05,2.4258196,22.540182
2011-10-06,2.489549,22.581957
2011-10-07,2.533014,22.620306
2011-10-10,2.4440553,22.55232
2011-10-11,2.4129088,22.510605
2011-10-12,2.391759,22.506746
2011-10-13,2.430458,22.543297
2011-10-14,2.360498,22.482151
2011-10-17,2.3719075,22.489634
2011-10-18,2.383991,22.502022
2011-10-19,2.3394735,22.469156
2011-10-20,2.3775346,22.492558
2011-10-21,2.3812027,22.495647
2011-10-24,2.378537,22.496752
2011-10-25,2.7217684,22.618408
2011-10-26,2.693563,22.623314
2011-10-27,2.661973,22.602226
2011-10-28,2.688909,22.621206
2011-10-31,2.6829407,22.619534
2011-11-01,2.711738,22.659676
2011-11-02,2.6352127,22.61804
2011-11-03,3.1443336,22.741558
2011-11-04,3.2768233,22.671167
2011-11-07,3.3058221,22.660856
2011-11-08,3.3377771,22.683277
2011-11-09,3.3391871,22.66863
2011-11-10,3.3316052,22.680786
2011-11-11,3.326614,22.670746
2011-11-14,3.331507,22.6536
2011-11-15,3.322543,22.678701
2011-11-16,3.3565567,22.655067
2011-11-17,3.3351097,22.662466
2011-11-18,3.30059,22.708202
2011-11-21,3.340945,22.685259
2011-11-22,3.301973,22.708086
2011-11-23,3.2305977,22.80144
2011-11-25,3.262731,22.768192
2011-11-28,3.2756956,22.762474
2011-11-29,3.2431598,22.797775
2011-11-30,3.2209778,22.812197
2011-12-01,3.247136,22.788912
2011-12-02,3.258397,22.779232
2011-12-05,3.0483232,22.932352
2011-12-06,3.0276895,22.976364
2011-12-07,3.020014,22.985579
2011-12-08,3.1206937,22.882957
2011-12-09,3.1740925,22.844282
2011-12-12,3.1078432,22.913706
2011-12-13,3.2120798,22.777996
2011-12-14,3.3218148,22.568922
2011-12-15,3.2951136,22.598095
2011-12-16,3.2931638,22.573751
2011-12-19,3.2687645,22.621193
2011-12-20,3.2641952,22.585232
2011-12-21,1.3881842,14.425709
2011-12-22,1.4053044,14.4426155
2011-12-23,1.3766096,14.41321
2011-12-27,1.3747841,14.412287
2011-12-28,1.3772113,14.414076
2011-12-29,1.3945673,14.431819
2011-12-30,1.3417969,14.379382
2012-01-03,1.3301368,14.367592
2012-01-04,1.3336089,14.371324
2012-01-05,1.330516,14.36873
2012-01-06,1.3303195,14.368142
2012-01-09,1.3261142,14.365012
2012-01-10,1.3267828,14.3659
2012-01-11,1.318497,14.3591
2012-01-12,1.2920157,14.332501
2012-01-13,0.7775093,13.858953
2012-01-17,0.5860641,13.672619
2012-01-18,0.6080425,13.6760645
2012-01-19,0.61572546,13.649114
2012-01-20,0.62480587,13.643899
2012-01-23,0.64732563,13.621684
2012-01-24,0.7381313,13.59025
2012-01-25,0.74051976,13.593276
2012-01-26,0.7331313,13.594023
2012-01-27,0.74095696,13.591092
2012-01-30,0.7676957,13.58774
2012-01-31,0.7465352,13.589428
2012-02-01,0.7765785,13.570641
2012-02-02,0.7619184,13.584568
2012-02-03,0.7496715,13.596342
2012-02-06,0.7695539,13.58365
2012-02-07,0.76661783,13.584307
2012-02-08,0.77711517,13.579783
2012-02-09,0.76937705,13.581031
2012-02-10,0.7758205,13.583801
2012-02-13,0.76023006,13.583787
2012-02-14,0.6483709,13.583456
2012-02-15,0.3542033,13.572767
2012-02-16,0.34197897,13.567252
2012-02-17,0.29281965,13.563646
2012-02-21,0.18908875,13.549415
2012-02-22,0.15419984,13.561465
2012-02-23,0.002341576,13.563655
2012-02-24,-0.08324299,13.540741
2012-02-27,-0.21506365,13.568327
2012-02-28,-0.14976293,13.530257
2012-02-29,-0.25414246,13.563296
2012-03-01,-0.22698642,13.545763
2012-03-02,-0.31818992,13.576603
2012-03-05,-0.30508024,13.61669
2012-03-06,-0.31811786,13.602157
2012-03-07,-0.31997317,13.604872
2012-03-08,-0.29508,13.630313
2012-03-09,-0.33504438,13.60929
2012-03-12,-0.31216308,13.585829
2012-03-13,-0.32421264,13.613467
2012-03-14,-0.342825,13.626796
2012-03-15,-0.35227856,13.632508
2012-03-16,-0.29408607,13.602692
