Date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol,returns,log_returns,vol_21d,vol_63d,vol_252d,momentum_21d,momentum_63d,sma_21,sma_50,sma_200,price_to_sma21,price_to_sma50,price_to_sma200,sma21_slope,sma50_slope,rsi,cummax,drawdown
2012-01-03,92.18475516637005,92.62358578510603,91.93930464675583,91.95417785644531,7175100,0.0,0.0,0.0,DIA,,,,,,,,,,,,,,,,,91.95417785644531,0.0
2012-01-04,91.78316514087545,92.26662702623898,91.56746658664756,92.20712280273438,7625200,0.0,0.0,0.0,DIA,0.00275077165807458,0.0027469952095636363,,,,,,,,,,,,,,,92.20712280273438,0.0
2012-01-05,91.82776164188601,92.31122337546688,91.1806661823578,92.19221496582031,8678900,0.0,0.0,0.0,DIA,-0.00016167771491970573,-0.00016169078617036216,,,,,,,,,,,,,,,92.20712280273438,-0.00016167771491965924
2012-01-06,92.28890607161942,92.28890607161942,91.58974588672392,91.87982177734375,7488600,0.0,0.0,0.0,DIA,-0.0033884985689125457,-0.0033942525320625853,,,,,,,,,,,,,,,92.20712280273438,-0.0035496284391266027
2012-01-09,91.99882938046588,92.16246309675228,91.58974508974988,91.97651672363281,5881800,0.0,0.0,0.0,DIA,0.0010524067680866,0.0010518533763119772,,,,,,,,,,,,,,,92.20712280273438,-0.002500957324033583
2012-01-10,92.88398555798439,92.97324191309005,92.4302756834776,92.51209259033203,5274400,0.0,0.0,0.0,DIA,0.0058229631407817894,0.005806075217701116,,,,,,,,,,,,,,,92.51209259033203,0.0
2012-01-11,92.25914489112083,92.56409396486988,92.08063797783765,92.4450912475586,4890300,0.0,0.0,0.0,DIA,-0.0007242441598434013,-0.0007245065513429249,,,,,,,,,,,,,,,92.51209259033203,-0.0007242441598433746
2012-01-12,92.60132930238917,92.72777152265671,91.9765519730895,92.62364196777344,5591300,0.0,0.0,0.0,DIA,0.0019314245657100493,0.0019295617634725452,,,,,,,,,,,,,,,92.62364196777344,0.0
2012-01-13,92.01372748131595,92.34843444824219,91.42613610237102,92.34843444824219,6392100,0.0,0.0,0.0,DIA,-0.002971244853738342,-0.002975667764936241,,,,,,,,,,,,,,,92.62364196777344,-0.002971244853738347
2012-01-17,93.00296327359845,93.39716878099684,92.57156621188027,92.6905746459961,5348800,0.0,0.0,0.0,DIA,0.0037048835727222507,0.0036980373958935553,,,,,,,,,,,,,,,92.6905746459961,0.0
