,avg_vol_126,vol_dispersion_126,avg_pairwise_corr_63,PC1_var,cum_var_3,effective_dimension
2023-03-28,0.8727072898726916,0.39552130331444724,-0.40162595774088483,-1.4657645552099425,-1.7463492291757037,1.4602553480344371
2023-03-29,0.8813187765588091,0.4066811516565477,-0.6058124150891172,-1.7931998255853878,-2.362910147862094,1.783342461739644
2023-03-30,0.9260052150183932,0.45735256055460494,-0.551913958730593,-1.8252063707805557,-2.173238497689199,1.8186427611982947
2023-03-31,0.9228897000040103,0.45835059548992346,-0.15659879420782913,-1.7284028167423569,-2.00857056644529,1.7228226037261367
2023-04-03,-0.5036203465052959,-0.7910885033972204,0.23399638018759453,-1.6704525055257007,-2.1021071956140633,1.6626143571827088
2023-04-04,-1.605244589193159,-1.7501866584995747,0.2529334965533869,-1.6104210720105445,-1.9479658282726169,1.6039951471783378
2023-04-05,-1.6615719137424583,-1.7309729903791848,0.5453288464923784,-1.4873955516254393,-1.8847978475687768,1.4801029608014715
2023-04-06,-1.6623967101419028,-1.7309206192910616,0.6839437812272938,-1.5163385544201025,-1.964398038424998,1.5082919642041075
2023-04-10,-1.6652742292216551,-1.713514123480035,1.6352978907135731,-1.3699053490027497,-1.396307437323584,1.368139464537446
2023-04-11,-1.7591979370131787,-1.7741350141036518,1.4557367150176173,-1.10999971699267,-1.0321162506280934,1.109885416441146
2023-04-12,-1.7234704557441445,-1.7431244420685061,1.6846999535618998,-1.0865111677524733,-0.9841050345637227,1.0867717780965773
2023-04-13,-1.751053526499326,-1.7617450478591274,0.9469339385295708,-1.1333674506406146,-1.1322108864180422,1.1321035094338672
2023-04-14,-1.70283913335575,-1.7173250715728188,1.1578027215960742,-1.0601771821218993,-0.7141200944584883,1.0640857057132582
2023-04-17,-1.709322142088672,-1.7013790696038222,1.1838596348382795,-1.07902953231595,-0.38044905998006817,1.0881746422985472
2023-04-18,-1.7522822688542203,-1.7114767512559652,1.2657015298427245,-1.1028970632479356,-0.735937236325432,1.1070884897408255
2023-04-19,-1.5922321730617959,-1.553672610939202,1.5034382913405588,-1.1405199492791318,-0.8227605628922225,1.1439578137452213
2023-04-20,-1.3023088722442955,-1.2879978105071919,0.7449181812887986,-0.881723911926876,-0.3160515150404381,0.888999081837393
2023-04-21,-1.3189702252287592,-1.2894343363706517,0.7164264194317139,-0.8807333358697534,-0.32423247692737495,0.8878750871075219
2023-04-24,-1.31962235174555,-1.289591102660196,0.7235966307075903,-0.8902186942732012,-0.354596433944778,0.89704471786094
2023-04-25,-1.2671247241522532,-1.2414595066515997,0.39868002618965853,-0.9664457610107322,-0.5402847129619083,0.9715993649555675
2023-04-26,-0.7949411320193677,-0.8131834611786463,0.6240926063674099,-0.6621580925387772,-0.07654175178299573,0.6698913915295579
2023-04-27,-0.3774790215908806,-0.4410372937829637,1.0122392641475286,-0.4649194164566807,0.13180701863647898,0.47298557544564357
2023-04-28,-0.3998082085369304,-0.4509210614904606,1.0246503265739377,-0.46149596512415314,0.17753770570096852,0.47019521407673404
2023-05-01,-0.3908776967693109,-0.43947318977479644,0.9937914780194028,-0.450322576477288,0.18517558554496205,0.4589793529007848
2023-05-02,-0.36545655773785574,-0.4233240854315359,0.9907173474087023,-0.4920550680711836,-0.296298691777128,0.49411869222335825
2023-05-03,-0.29635917604937545,-0.3554151053247863,0.40505450736110743,-0.45007858570387166,-0.3379327274492412,0.45093949578513043
2023-05-04,-0.27878965909738973,-0.33764000315365916,0.17852753095710913,-0.38339800804711355,-0.1332719133750278,0.3863767750290163
2023-05-05,-0.3058099921609495,-0.35386867213758655,-0.42651292287694126,-0.3777734841423114,-0.3009070553080662,0.37818226198348587
2023-05-08,-0.3736788403274085,-0.3817588498540927,-0.9081708080848221,-0.3425450738134395,-0.5834172410824446,0.3382652331128358
2023-05-09,-0.505341994032784,-0.4290112302971008,-0.5660539241705798,-0.3906832907613683,-0.6750779451122074,0.38569772109566913
2023-05-10,-0.594172181280769,-0.49796815448860937,-0.4310699054551891,-0.3054493166269046,-0.5608370019434019,0.3009730860565611
2023-05-11,-0.6664139420119638,-0.5678182338569779,-0.6978168283139718,-0.21660649791919928,-0.09857339920429989,0.21777849131035654
2023-05-12,-0.5311337564859029,-0.4500413140695231,-1.1208363362545417,0.01382468063262773,0.29101582457304637,-0.010013942514464646
2023-05-15,-0.2743892286186527,-0.1436700940066892,-1.0711683178824436,0.19878176017532959,0.6845020042940937,-0.1916317207621141
2023-05-16,-0.25792902607894913,-0.09827455709877411,-1.162439536701081,0.22022569171356166,0.7039283456188042,-0.21307616391653683
2023-05-17,-0.05308155324230503,0.08240326652741004,-0.9837805122698754,0.29857239629358745,0.7918888879072995,-0.29117023250330315
2023-05-18,0.17476711869040135,0.2853702131312943,-0.9229196051317224,0.38639573725120924,0.9739208649150514,-0.37746652764245214
2023-05-19,0.25239706897902076,0.3517704175919027,-0.33933134488397476,0.3318986333331109,0.8671298395150575,-0.3238292393395347
2023-05-22,0.44207072532187097,0.5195432646146934,0.026196512592023498,0.4349398386562576,1.087465504867609,-0.4249773661128253
2023-05-23,0.4471146819856009,0.5197810879594319,-0.17434793600544074,0.32337524537258705,0.6610488806428864,-0.318262186865875
2023-05-24,0.4768794066630009,0.5298648074939328,0.00015267553456631055,0.1687918661605508,0.3689869435634021,-0.16594171992791798
2023-05-25,0.5941027530229991,0.6368482014802938,1.1098153732711533,0.06573685539455337,-0.21472841170829143,-0.07017069492050594
2023-05-26,0.778181566879292,0.7985114012118943,1.161547377845342,0.1874873365536844,-0.029133341538158018,-0.19081075144163764
2023-05-30,0.7629327341131665,0.7869200297206836,1.0529419597486551,0.18050798644954952,-0.15967401165270934,-0.18567933011831686
2023-05-31,0.3973709170952193,0.4587234311568963,1.0732267747380269,0.09702688412135858,-0.018915775098670613,-0.09897361387185576
2023-06-01,0.3651037068531186,0.4218037556979464,0.8132894928146341,0.012395482517524934,-0.037837848498159174,-0.013465877023526791
2023-06-02,0.17897736913498544,0.26000786023970246,0.25859181326376385,0.07543690078717705,-0.05721509890747119,-0.07764417604038523
2023-06-05,0.41989803319904623,0.48153166639184575,-0.1874791297654515,0.10566479227208965,-0.10497506678772972,-0.10899522060549055
2023-06-06,0.7193445237757669,0.7454871325746589,-0.4065039482478902,0.28001268406575885,0.15861328703945443,-0.2817796722038103
2023-06-07,0.764670144125503,0.7914840537208883,-0.2222166311895681,0.25497111154969504,0.03688469432634705,-0.25821482993880246
2023-06-08,0.7905703059288496,0.8160249725466335,-0.07859765415677251,0.2594313635695981,0.17723606292379723,-0.2606448279614438
2023-06-09,0.7759243947758037,0.803346220784051,0.10797459985990049,0.28850004509834504,0.3423890554539482,-0.28764634874910494
2023-06-12,0.38081275514277,0.4527915687498292,0.6784864318059899,0.3481930013395885,0.3553972413280515,-0.3479466911023829
2023-06-13,0.2396735729082666,0.3277608597671723,1.06271480059282,0.4036192813166426,0.3894200316853776,-0.40360797144663274
2023-06-14,0.2623027245956851,0.34681424840264685,0.4421947032239464,0.8971953034438664,0.2553453946584387,-0.9057017372688344
2023-06-15,0.04457942601607575,0.17834931894875722,1.050287479319918,0.8853347214109869,0.1730790425176272,-0.8949120402288269
2023-06-16,0.17415893212654796,0.29457340223746065,1.4727938496344077,0.9533043209761617,0.3229345884311947,-0.9615495634961463
2023-06-20,0.7835966550591974,0.8517431473942879,-0.5521398531999826,1.1028536076997424,0.6890950381751086,-1.1075946460430721
2023-06-21,1.130693660287457,1.172475253078243,0.08215458856047445,1.271867646273736,0.7312834192378567,-1.2781593517957608
2023-06-22,0.9400363846949612,1.002086032012982,-0.21233793225211928,1.2691420224628749,0.5874189074284728,-1.2775391045953748
2023-06-23,0.777154644051117,0.8477281279028878,-0.07448940431891254,1.2243202178332435,0.8297622688785076,-1.228537476083728
2023-06-26,1.0834791746173826,1.1215791297226558,-0.717835582367158,1.4025134188454464,1.3994979587387248,-1.400539124030327
