,regime
1970-01-01 00:00:00.831519000,1
1970-01-01 00:00:00.831605400,1
1970-01-01 00:00:00.831691800,1
1970-01-01 00:00:00.831951000,1
1970-01-01 00:00:00.832037400,1
1970-01-01 00:00:00.832123800,1
1970-01-01 00:00:00.832210200,1
1970-01-01 00:00:00.832296600,1
1970-01-01 00:00:00.832555800,1
1970-01-01 00:00:00.832642200,1
1970-01-01 00:00:00.832728600,1
1970-01-01 00:00:00.832815000,1
1970-01-01 00:00:00.832901400,1
1970-01-01 00:00:00.833160600,1
1970-01-01 00:00:00.833247000,1
1970-01-01 00:00:00.833333400,1
1970-01-01 00:00:00.833419800,1
1970-01-01 00:00:00.833506200,1
1970-01-01 00:00:00.833765400,1
1970-01-01 00:00:00.833851800,1
1970-01-01 00:00:00.833938200,1
1970-01-01 00:00:00.834024600,1
1970-01-01 00:00:00.834111000,1
1970-01-01 00:00:00.834370200,1
1970-01-01 00:00:00.834456600,1
1970-01-01 00:00:00.834543000,1
1970-01-01 00:00:00.834629400,1
1970-01-01 00:00:00.834715800,1
1970-01-01 00:00:00.834975000,1
1970-01-01 00:00:00.835061400,1
1970-01-01 00:00:00.835147800,1
1970-01-01 00:00:00.835234200,1
1970-01-01 00:00:00.835320600,1
1970-01-01 00:00:00.835579800,1
1970-01-01 00:00:00.835666200,1
1970-01-01 00:00:00.835752600,1
1970-01-01 00:00:00.835839000,1
1970-01-01 00:00:00.835925400,3
1970-01-01 00:00:00.836184600,3
1970-01-01 00:00:00.836271000,3
1970-01-01 00:00:00.836357400,3
1970-01-01 00:00:00.836443800,3
1970-01-01 00:00:00.836530200,3
1970-01-01 00:00:00.836789400,3
1970-01-01 00:00:00.836875800,3
1970-01-01 00:00:00.836962200,3
1970-01-01 00:00:00.837048600,3
1970-01-01 00:00:00.837135000,3
1970-01-01 00:00:00.837394200,3
1970-01-01 00:00:00.837480600,3
1970-01-01 00:00:00.837567000,3
1970-01-01 00:00:00.837653400,3
1970-01-01 00:00:00.837739800,3
1970-01-01 00:00:00.837999000,3
1970-01-01 00:00:00.838085400,3
1970-01-01 00:00:00.838171800,3
1970-01-01 00:00:00.838258200,3
1970-01-01 00:00:00.838344600,3
1970-01-01 00:00:00.838603800,3
1970-01-01 00:00:00.838690200,3
1970-01-01 00:00:00.838776600,3
1970-01-01 00:00:00.838863000,3
1970-01-01 00:00:00.838949400,3
1970-01-01 00:00:00.839208600,3
1970-01-01 00:00:00.839295000,3
1970-01-01 00:00:00.839381400,3
1970-01-01 00:00:00.839467800,3
1970-01-01 00:00:00.839554200,3
1970-01-01 00:00:00.839813400,3
1970-01-01 00:00:00.839899800,3
1970-01-01 00:00:00.839986200,3
1970-01-01 00:00:00.840072600,3
1970-01-01 00:00:00.840159000,3
1970-01-01 00:00:00.840418200,3
1970-01-01 00:00:00.840504600,3
1970-01-01 00:00:00.840591000,3
1970-01-01 00:00:00.840677400,3
1970-01-01 00:00:00.840763800,3
1970-01-01 00:00:00.841023000,3
1970-01-01 00:00:00.841109400,3
1970-01-01 00:00:00.841195800,3
1970-01-01 00:00:00.841282200,3
1970-01-01 00:00:00.841368600,3
1970-01-01 00:00:00.841627800,3
1970-01-01 00:00:00.841714200,3
