,avg_vol_126,vol_dispersion_126,avg_pairwise_corr_63,PC1_var,cum_var_3,effective_dimension
2017-11-17,-1.0965597278319419,-1.0947091136047051,-0.7532293643141136,0.6714103953551301,0.3727159543463976,-0.6909259791158062
2017-11-20,-1.0967816591615998,-1.0947838224429896,-1.0471255675176987,0.6908899120717262,0.3796228514759871,-0.7111237109750473
2017-11-21,-1.0966961121060455,-1.0948536573795575,-0.9038448599083418,0.6951734912679337,0.39340403551360004,-0.7146724030559178
2017-11-22,-1.0964971239345451,-1.0950203374930354,-0.9569624463139615,0.6918649999105908,0.38161766110927703,-0.712016598946774
2017-11-23,-1.096362947548,-1.0952621943742529,-0.7831665740335844,0.6853839957763109,0.3451835397399982,-0.7077932995322307
2017-11-24,-1.0966755467415805,-1.095064488346843,-0.4668510181420315,0.690794844183358,0.37210866707027357,-0.7115722336454064
2017-11-27,-1.0967421883982917,-1.094994578243688,-0.052283598671585926,0.7066257172679816,0.4365300051185628,-0.7236934163103504
2017-11-28,-1.0953200691353182,-1.0944232652201145,-0.7021398617279639,0.7202237324314283,0.447525623065823,-0.7373344888327867
2017-11-29,-1.0937202378793642,-1.0937314893029182,-1.2519262253574637,0.691743789721487,0.4328008447702119,-0.7081365619710541
2017-11-30,-1.0915293086782514,-1.0933503151143227,-0.9695752471420579,0.6577121655486375,0.4078591920264111,-0.673786027189825
2017-12-01,-1.090787831637415,-1.0936790882532792,0.12596516719207668,0.6561551522644331,0.44915249846918,-0.6691142730781198
2017-12-04,-1.091379607292801,-1.0931375815947764,0.07624588474162101,0.6587521574356267,0.47245297359665217,-0.6701712453617291
2017-12-05,-1.093168903853627,-1.0931007963072663,0.11504893456016795,0.6697678704250238,0.484396949367791,-0.6810069296276701
2017-12-06,-1.0938376134621464,-1.093324150213513,0.1399838670142464,0.6829316483218065,0.47499851093777123,-0.6956888735557217
2017-12-07,-1.0935615269231067,-1.093266040903162,0.0272685622763494,0.6931085361641057,0.48054563671892175,-0.7060995196174528
2017-12-08,-1.0919778968292266,-1.0930977790813707,0.02916862434922453,0.6684908521925064,0.46815710885613804,-0.680836306016622
2017-12-11,-1.091956835041948,-1.0925068788370227,0.6563676427827767,0.6391496705912153,0.4819862517609234,-0.6486339528479884
2017-12-12,-1.091375575132056,-1.0927245089191395,1.501035658091466,0.6211584633255848,0.475308045304895,-0.6299911421119231
2017-12-13,-1.0927638595018958,-1.0925160333337636,0.19607683451015012,0.68772046112523,0.467389716609687,-0.7013244625638203
2017-12-14,-1.093084844018917,-1.0926178091698795,0.8085445212181511,0.603168908182838,0.4054032858088618,-0.6159647935553787
2017-12-15,-1.0942808875559509,-1.0915612320042305,0.27112278436840437,0.6045798662521148,0.4150837509850176,-0.6167519753466069
2017-12-18,-1.0929508877232352,-1.0916405793070028,-0.22355846236962917,0.6874717329557218,0.5275170118970036,-0.696669133684658
2017-12-19,-1.0924797076961072,-1.0916146930158768,-0.08332273692862192,0.6856584266465717,0.5355330621732981,-0.6941547864819144
2017-12-20,-1.0927613486237482,-1.0914417823330382,0.26141599532720294,0.6824894026487688,0.5560719527821689,-0.6892861472206155
2017-12-21,-1.0909928551487171,-1.0913551890037134,0.12637490601102647,0.6623026748693193,0.5371200194004497,-0.6692133729708074
2017-12-22,-1.0903995365227006,-1.0912998930642792,-0.48789397409823543,0.7643661234124383,0.6630854002300124,-0.7684792719884269
2017-12-27,-1.0910933824747433,-1.091494582828485,-0.35179500970906824,0.8027691011961039,0.7109770745487233,-0.8057793085406557
2017-12-28,-1.0927382889496684,-1.090790234869661,-0.3755410645004724,0.8146211252838037,0.7321148787374011,-0.8168245038479554
2017-12-29,-1.0924386003562812,-1.0913962028626032,-0.593800252234001,0.8123472505645218,0.720121157605399,-0.8152851745948659
2018-01-02,-1.09223716837371,-1.0913298792876647,-1.7871590375268283,0.8613521847796373,0.7606324946794597,-0.864368033917005
2018-01-03,-1.0919891493628253,-1.0912644491272372,-2.055206538073799,0.8638749723525901,0.7456506152408827,-0.8681413803889272
2018-01-04,-1.0923321334311489,-1.0912839609448464,-1.9272461555904288,0.8606195356846781,0.7436645005941066,-0.8648299833382288
2018-01-05,-1.0922454671064594,-1.0912965150468665,-1.7904907528400527,0.8601458173492973,0.745127643068992,-0.864219997105911
2018-01-08,-1.0922408980609846,-1.0911381618675364,-1.9222332130660993,0.860142930504104,0.7445460565949891,-0.8642594683070228
2018-01-09,-1.0926568627185884,-1.0911886445488708,-2.0055603223317418,0.8589133211666482,0.7470198801880726,-0.8627726976643161
2018-01-10,-1.0949371819195293,-1.0914195324314924,-1.8477288470066278,0.8596671702740718,0.7483308266481689,-0.8634772826434487
2018-01-11,-1.0964867796151931,-1.0917096318119426,-1.828934125978656,0.8478420370320602,0.733397617640719,-0.8520106664014103
2018-01-12,-1.0969914070265012,-1.0918447581451725,-1.6601316639368138,0.8229815110777929,0.7046943637091388,-0.8277039385134128
2018-01-15,-1.0972485850926041,-1.0919435149145873,-1.52715047645655,0.866802084961555,0.7601757432633918,-0.870189209007559
2018-01-16,-1.0973151672210695,-1.091948532340542,-1.6153709195292845,0.8783143884821205,0.77831418842676,-0.881088576739897
2018-01-17,-1.0972069743128823,-1.0921173718990556,-1.3823872982471013,0.8648349673281326,0.7656759997647574,-0.8676990822790358
2018-01-18,-1.0985813489743825,-1.0918756614211758,-1.0688244635483293,0.8446742980802735,0.7434107889004961,-0.8479162727424177
2018-01-19,-1.0990448691330132,-1.0920151067849004,-1.0275136447580264,0.8403141283220632,0.7488486395770159,-0.842887992668049
2018-01-22,-1.102152961488664,-1.091877227693987,-0.9927848731741453,0.8404537160713258,0.7760634735031857,-0.8410476836187436
2018-01-23,0.9148038837427515,0.9692873093077847,-1.0653578787329732,0.8333972865326715,0.7699918417507582,-0.8339966691460071
2018-01-24,0.9160696201874875,0.9689027091422103,-1.0029701071814145,0.8032655962782876,0.7436965640744964,-0.8039148077167689
2018-01-25,0.9093120902781026,0.9600131079143023,-0.26581388447797794,0.7968512142487671,0.7406288884376893,-0.7973214652036682
2018-01-26,0.9028220966886007,0.9551109547576321,0.07566118213685036,0.8036700716988167,0.7733964267798125,-0.8021735064003532
2018-01-29,0.9035321354230421,0.9561529897515478,0.0012751398692516817,0.8037280672834561,0.7727899834611632,-0.8022787448145482
2018-01-30,0.907740393161679,0.9584133257460037,-0.18555690703189653,0.7835548514956904,0.7507335171090561,-0.7824620581755688
2018-01-31,0.9110670513071883,0.959054540938705,0.49955420263364303,0.7551538026022173,0.7493926787689965,-0.7523854728662321
2018-02-01,0.9095805155779072,0.9574854806487977,0.8390348519738484,0.7133656077006897,0.7215973659503334,-0.7100090884051692
2018-02-02,0.9089653052025409,0.9571589067950064,1.4209131592950315,0.7085902234829918,0.7370971002968979,-0.7038031074245308
2018-02-05,0.9074523921649046,0.9511715145446858,2.432327688860243,0.6421146861211381,0.708127748355541,-0.6352635213102934
2018-02-06,0.9452628945803675,0.9686342826393333,3.4926153080070663,0.44308964662873956,0.632066292669895,-0.42914718541744495
2018-02-07,0.9542948207373894,0.968281430850857,0.9728672368642391,0.3387303574424542,0.567935042515629,-0.32264318566837147
2018-02-08,0.9546860939467035,0.9674401144861631,0.09142859172999686,0.27877287944544327,0.554359825026413,-0.2597256278388128
2018-02-09,0.9551770661312996,0.9674704894461413,0.9132473817546607,0.22274092789099997,0.5261598526677378,-0.20207468185085206
2018-02-12,0.9513811763981622,0.962053077737996,0.12477387810220414,0.21075911461368746,0.5228430170010775,-0.18953286889176862
2018-02-13,0.9512535401965001,0.9610802817860298,0.051546163404931976,0.19076938649276823,0.4954063771348181,-0.17021944211370313
2018-02-14,0.9571925616504195,0.9674546302761752,0.1560344300042875,0.15493069551912833,0.45988461298557065,-0.13460573213086247
2018-02-15,0.9637485080963553,0.9739235228033815,-0.01170671503813716,0.15352763892967772,0.460138368897974,-0.1330864266472801
2018-02-16,0.95954023849712,0.9704933799123695,0.08128268153882795,0.14732181610446096,0.4652739212460358,-0.1260980714208359
2018-02-19,0.9563347812427646,0.9672169027713793,-0.028115114405787445,0.13609691651480615,0.47926901910435965,-0.1130953914210048
2018-02-20,0.9603999543885114,0.9721924628631088,-0.1372307045183377,0.15008134648820087,0.4811302584714908,-0.12787174478978977
2018-02-21,0.9684263954302382,0.9806405211275541,-0.010369578413596137,0.16241022003873867,0.495717270338655,-0.13995415270527142
2018-02-22,0.9632354257721364,0.975366700859578,-0.13814212058336123,0.16122224721871767,0.49465252120895337,-0.13876448146860873
2018-02-23,0.9573583180415606,0.9691614701646258,-0.21640263717382918,0.15176415828388298,0.4965987717841787,-0.1285337341589644
2018-02-26,0.9405778558205805,0.953568807158522,-0.29459126439765476,0.14668128345725195,0.4830704470384623,-0.12410612385261172
2018-02-27,0.943921946771234,0.9576052812890312,-0.1946339307415857,0.14530045496095464,0.4969954959781987,-0.12161038306210693
2018-02-28,0.9483303525641845,0.9630109767188884,-0.3375717970591878,0.14893131571382479,0.504764882273343,-0.12491237200353433
2018-03-01,0.9351600893121208,0.9482564828379925,0.2783065695519935,0.1353416569402455,0.5040675373412253,-0.11048836418973627
2018-03-02,0.9261419040030395,0.9348290499870202,0.5714771545337658,0.09384462247430796,0.5013400184469202,-0.06643540938660575
2018-03-05,0.9150970208157937,0.9216181266119634,-0.31256276722935317,0.03342268284941087,0.4190670137382034,-0.007965950970223378
2018-03-06,0.9141065039465491,0.919651809402327,-0.29544626913994243,0.024674492494048836,0.3808832277162495,-0.0014285509828148302
2018-03-07,0.91427529806338,0.9204571222546021,-0.32843872852234973,0.021955910747012756,0.3559477863043049,-0.00035702750764776334
2018-03-08,0.9185888872169635,0.9243183355023874,-0.3171192326389538,0.009061839265524438,0.3925496499465785,0.01608301547461987
2018-03-09,0.9195704614914684,0.9252756395620417,-0.23973500688427085,-0.00025202666926685274,0.40750847555518166,0.02711875722344554
2018-03-12,0.9155270288631159,0.9210837194061791,-0.3206960962215849,0.010688722813394547,0.4087544607786504,0.015537429495551132
2018-03-13,0.9209808924684637,0.9251464291838356,-0.6580658957253821,0.03598462718522284,0.4164238197507866,-0.010899731231887482
2018-03-14,0.9035699090129783,0.9081498977100745,-1.038492917745198,0.0491615265050984,0.38238209840459647,-0.02744440937144358
2018-03-15,0.8977389863446291,0.90675917168507,-1.0569915209771432,0.05791840444115198,0.38984066493355524,-0.03624654776269401
2018-03-16,0.8740840024143152,0.883578155578006,-0.7600665451894754,0.12253556614177277,0.44701812716000855,-0.1010006603744712
