Date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol,returns,log_returns,cum_returns,vol_21d,vol_63d,vol_252d,sma_50,sma_200,trend_50_200
2012-01-03,99.7865164749064,100.27076751789187,99.52876966369256,99.58344268798828,193697900,0.0,0.0,0.0,SPY,,,,,,,,,False
2012-01-04,99.34908561998041,99.82552433318823,98.96637460670064,99.73960876464844,127186500,0.0,0.0,0.0,SPY,0.0015681931900008994,0.001566964859066109,0.0015681931900008994,,,,,,False
2012-01-05,99.20072457869132,100.15359636991735,98.74771614683665,100.00519561767578,173895000,0.0,0.0,0.0,SPY,0.002662802233905248,0.002659263257041713,0.004235171212235711,,,,,,False
2012-01-06,100.13017057267751,100.145794841487,99.41942127357274,99.7474594116211,148050000,0.0,0.0,0.0,SPY,-0.0025772281576251777,-0.002580554927238908,0.0016470280521099223,,,,,,False
2012-01-09,99.97393109516314,100.11451371521149,99.51311661679848,99.98955535888672,99530200,0.0,0.0,0.0,SPY,0.0024270888571364946,0.0024241482341174005,0.004078114392679133,,,,,,False
2012-01-10,101.05959701705501,101.26266479827018,100.7159346812888,100.85652923583984,115282000,0.0,0.0,0.0,SPY,0.008670644387219761,0.008633270233457616,0.0127841186595683,,,,,,False
2012-01-11,100.54410108131503,101.04397030729548,100.38008800909934,100.91119384765625,111540700,0.0,0.0,0.0,SPY,0.000542003698031035,0.0005418568670795788,0.013333051397188989,,,,,,False
2012-01-12,101.20022364166414,101.30175160553428,100.39573460009512,101.15335083007812,118983700,0.0,0.0,0.0,SPY,0.0023997038701915052,0.0023968291788792786,0.01576475064241989,,,,,,False
2012-01-13,100.47384370788087,100.79407570463064,99.75528219764516,100.63005065917969,179836200,0.0,0.0,0.0,SPY,-0.005173335006741442,-0.005186763036104489,0.010509859299307367,,,,,,False
2012-01-17,101.59851695543199,101.78597238150353,100.6768760078581,101.02053833007812,132209200,0.0,0.0,0.0,SPY,0.003880428046498352,0.003872918605880006,0.014431070098595455,,,,,,False
2012-01-18,100.99716333648114,102.19216402888502,100.817525903185,102.13749694824219,163395200,0.0,0.0,0.0,SPY,0.011056747831955427,0.010996068860664569,0.025647378633576245,,,,,,False
2012-01-19,102.48891328016121,102.76228429720919,102.16087521039726,102.6763687133789,126328900,0.0,0.0,0.0,SPY,0.005275944498716267,0.005262075463658412,0.03105863727850089,,,,,,False
2012-01-20,102.50454569701208,103.05908203125,102.25460509951287,103.05908203125,138230200,0.0,0.0,0.0,SPY,0.003727374883498724,0.0037204454355000438,0.03490177934650718,,,,,,False
